Entity,Code,Year,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages",World Bank's income classification,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages",Year
Afghanistan,AFG,1990,5174.313,Low-income countries,10305.869,2019
Afghanistan,AFG,1991,5246.9497,Low-income countries,10305.869,2019
Afghanistan,AFG,1992,5363.3354,Low-income countries,10305.869,2019
Afghanistan,AFG,1993,5522.3994,Low-income countries,10305.869,2019
Afghanistan,AFG,1994,5688.7485,Low-income countries,10305.869,2019
Afghanistan,AFG,1995,5800.6177,Low-income countries,10305.869,2019
Afghanistan,AFG,1996,5934.1523,Low-income countries,10305.869,2019
Afghanistan,AFG,1997,6065.6665,Low-income countries,10305.869,2019
Afghanistan,AFG,1998,6177.6875,Low-income countries,10305.869,2019
Afghanistan,AFG,1999,6288.3413,Low-income countries,10305.869,2019
Afghanistan,AFG,2000,6377.8887,Low-income countries,10305.869,2019
Afghanistan,AFG,2001,6505.155,Low-income countries,10305.869,2019
Afghanistan,AFG,2002,6487.9395,Low-income countries,10305.869,2019
Afghanistan,AFG,2003,6527.653,Low-income countries,10305.869,2019
Afghanistan,AFG,2004,6594.475,Low-income countries,10305.869,2019
Afghanistan,AFG,2005,6635.9478,Low-income countries,10305.869,2019
Afghanistan,AFG,2006,6720.0693,Low-income countries,10305.869,2019
Afghanistan,AFG,2007,6849.35,Low-income countries,10305.869,2019
Afghanistan,AFG,2008,7026.1265,Low-income countries,10305.869,2019
Afghanistan,AFG,2009,7181.1147,Low-income countries,10305.869,2019
Afghanistan,AFG,2010,7339.67,Low-income countries,10305.869,2019
Afghanistan,AFG,2011,7571.6855,Low-income countries,10305.869,2019
Afghanistan,AFG,2012,7855.574,Low-income countries,10305.869,2019
Afghanistan,AFG,2013,8123.7925,Low-income countries,10305.869,2019
Afghanistan,AFG,2014,8428.712,Low-income countries,10305.869,2019
Afghanistan,AFG,2015,8786.03,Low-income countries,10305.869,2019
Afghanistan,AFG,2016,9157.323,Low-income countries,10305.869,2019
Afghanistan,AFG,2017,9586.488,Low-income countries,10305.869,2019
Afghanistan,AFG,2018,9974.792,Low-income countries,10305.869,2019
Afghanistan,AFG,2019,10305.869,Low-income countries,10305.869,2019
Afghanistan,AFG,1987,,Low-income countries,10305.869,2019
Afghanistan,AFG,1988,,Low-income countries,10305.869,2019
Afghanistan,AFG,1989,,Low-income countries,10305.869,2019
Afghanistan,AFG,2020,,Low-income countries,10305.869,2019
Afghanistan,AFG,2021,,Low-income countries,10305.869,2019
Afghanistan,AFG,2022,,Low-income countries,10305.869,2019
African Region (WHO),,1990,175453.8,,236433.22,2019
African Region (WHO),,1991,179235.25,,236433.22,2019
African Region (WHO),,1992,183930.73,,236433.22,2019
African Region (WHO),,1993,185843.22,,236433.22,2019
African Region (WHO),,1994,190794.3,,236433.22,2019
African Region (WHO),,1995,195920.84,,236433.22,2019
African Region (WHO),,1996,201739.1,,236433.22,2019
African Region (WHO),,1997,209218.48,,236433.22,2019
African Region (WHO),,1998,213098.33,,236433.22,2019
African Region (WHO),,1999,212744.42,,236433.22,2019
African Region (WHO),,2000,215528.9,,236433.22,2019
African Region (WHO),,2001,214909.25,,236433.22,2019
African Region (WHO),,2002,215497.94,,236433.22,2019
African Region (WHO),,2003,216621.47,,236433.22,2019
African Region (WHO),,2004,216528.17,,236433.22,2019
African Region (WHO),,2005,216048.89,,236433.22,2019
African Region (WHO),,2006,217166.77,,236433.22,2019
